Pollster,Start Date,End Date,Release Date/Time (ET),Number of Observations,Population,Mode,Favorable,Unfavorable,Undecided,Pollster URL,Source URL,Source URL
FOX,2012-04-22,2012-04-24,2012-04-26 11:53:13,915,Registered Voters,Phone,50,48,2,http://elections.huffingtonpost.com/pollster/polls/fox-13628,http://www.foxnews.com/politics/interactive/2012/04/25/fox-news-poll-45-percent-approve-obama/,http://www.foxnews.com/politics/interactive/2012/04/25/fox-news-poll-45-percent-approve-obama/
YouGov/Economist,2012-04-21,2012-04-23,2012-04-25 17:33:38,1000,Adults,Internet,45,48,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13625,http://cdn.yougov.com/cumulus_uploads/document/hhso6vssxx/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/hhso6vssxx/econToplines.pdf
DailyKos/SEIU/PPP (D),2012-04-19,2012-04-22,2012-04-24 13:07:24,1000,Registered Voters,Automated Phone,50,46,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13600,http://dailykos.com/weeklypolling/2012/4/19,http://dailykos.com/weeklypolling/2012/4/19
NBC/WSJ,2012-04-13,2012-04-17,2012-04-20 08:58:13,800,Adults,Phone,48,39,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-13569,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/12336%20APRIL%20NBC-WSJ%20Poll%20Release%20(4-19).pdf,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/12336%20APRIL%20NBC-WSJ%20Poll%20Release%20(4-19).pdf
CBS/Times,2012-04-13,2012-04-17,2012-04-18 11:10:55,957,Adults,Phone,42,45,11,http://elections.huffingtonpost.com/pollster/polls/cbs-times-13553,http://www.cbsnews.com/8301-250_162-57416095/cbs-news-nyt-poll-4-18-12/,http://www.cbsnews.com/8301-250_162-57416095/cbs-news-nyt-poll-4-18-12/
Quinnipiac,2012-04-11,2012-04-17,2012-04-19 08:49:41,2577,Registered Voters,Phone,33,38,,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-13560,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/search-releases/search-results/release-detail?ReleaseID=1737&What=&strArea=;&strTime=0,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/search-releases/search-results/release-detail?ReleaseID=1737&What=&strArea=;&strTime=0
YouGov/Economist,2012-04-14,2012-04-16,2012-04-19 13:25:23,1000,Adults,Internet,44,50,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13564,http://cdn.yougov.com/cumulus_uploads/document/q7qphtiux5/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/q7qphtiux5/econToplines.pdf
CNN,2012-04-12,2012-04-15,2012-04-17 16:15:35,1015,Adults,Phone,56,42,2,http://elections.huffingtonpost.com/pollster/polls/cnn-13549,http://i2.cdn.turner.com/cnn/2012/images/04/17/rel4e1.pdf,http://i2.cdn.turner.com/cnn/2012/images/04/17/rel4e1.pdf
DailyKos/SEIU/PPP (D),2012-04-12,2012-04-15,2012-04-18 14:06:02,1000,Registered Voters,Automated Phone,48,47,5,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13557,http://dailykos.com/weeklypolling/2012/4/12,http://dailykos.com/weeklypolling/2012/4/12
ABC/Post,2012-04-11,2012-04-15,2012-04-16 17:07:46,1009,Adults,Phone,56,40,5,http://elections.huffingtonpost.com/pollster/polls/abc-post-13537,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_041215.html,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_041215.html
YouGov/Economist,2012-04-07,2012-04-10,2012-04-12 13:31:55,1000,Adults,Internet,46,46,8,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13517,http://cdn.yougov.com/cumulus_uploads/document/62c5cvpx77/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/62c5cvpx77/econToplines.pdf
DailyKos/SEIU/PPP (D),2012-04-04,2012-04-07,2012-04-11 11:50:39,1000,Registered Voters,Automated Phone,49,48,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13501,http://dailykos.com/weeklypolling/2012/4/4,http://dailykos.com/weeklypolling/2012/4/4
YouGov/Economist,2012-03-31,2012-04-03,2012-04-05 09:18:45,1000,Adults,Internet,46,47,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13440,http://cdn.yougov.com/cumulus_uploads/document/tcsmuw8ni1/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/tcsmuw8ni1/econToplines.pdf
DailyKos/SEIU/PPP (D),2012-03-29,2012-04-01,2012-04-03 15:19:04,1000,Registered Voters,Automated Phone,49,48,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13421,http://dailykos.com/weeklypolling/2012/3/29,http://dailykos.com/weeklypolling/2012/3/29
YouGov/Economist,2012-03-24,2012-03-27,2012-03-29 11:03:01,1000,Adults,Internet,44,47,9,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13377,http://cdn.yougov.com/cumulus_uploads/document/id0byp7yy7/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/id0byp7yy7/econToplines.pdf
CNN,2012-03-24,2012-03-25,2012-03-28 16:52:53,1014,Adults,Phone,56,42,2,http://elections.huffingtonpost.com/pollster/polls/cnn-13374,http://i2.cdn.turner.com/cnn/2012/images/03/28/rel3d.pdf,http://i2.cdn.turner.com/cnn/2012/images/03/28/rel3d.pdf
DailyKos/SEIU/PPP (D),2012-03-22,2012-03-25,2012-03-27 13:56:31,1000,Registered Voters,Automated Phone,49,45,6,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13347,http://dailykos.com/weeklypolling/2012/3/22,http://dailykos.com/weeklypolling/2012/3/22
Suffolk,2012-03-21,2012-03-25,2012-03-26 13:54:49,1070,Likely Voters,Phone,52,43,5,http://elections.huffingtonpost.com/pollster/polls/suffolk-13338,http://www.suffolk.edu/51086.html,http://www.suffolk.edu/51086.html
ABC/Post,2012-03-21,2012-03-25,2012-03-28 11:19:20,1016,Adults,Phone,53,43,3,http://elections.huffingtonpost.com/pollster/polls/abc-post-13352,http://www.langerresearch.com/uploads/1127a21FavorabilityNo21.pdf,http://www.langerresearch.com/uploads/1127a21FavorabilityNo21.pdf
Marist/McClatchy,2012-03-20,2012-03-22,2012-03-27 11:22:34,846,Registered Voters,Phone,50,46,3,http://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-13344,http://www.mcclatchydc.com/2012/03/26/143149/mcclatchy-marist-poll-on-politics.html,http://www.mcclatchydc.com/2012/03/26/143149/mcclatchy-marist-poll-on-politics.html
YouGov/Economist,2012-03-17,2012-03-20,2012-03-21 16:35:33,1000,Adults,Internet,47,46,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13283,http://cdn.yougov.com/cumulus_uploads/document/3nqergp46v/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/3nqergp46v/econToplines.pdf
DailyKos/SEIU/PPP (D),2012-03-15,2012-03-18,2012-03-20 14:29:44,1000,Registered Voters,Automated Phone,48,49,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13263,http://dailykos.com/weeklypolling/2012/3/15,http://dailykos.com/weeklypolling/2012/3/15
YouGov/Economist,2012-03-10,2012-03-13,2012-03-15 16:42:09,1000,Adults,Internet,47,45,8,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13219,http://cdn.yougov.com/cumulus_uploads/document/80t59s65uu/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/80t59s65uu/econToplines.pdf
FOX,2012-03-10,2012-03-12,2012-03-15 11:16:12,912,Registered Voters,Phone,50,47,3,http://elections.huffingtonpost.com/pollster/polls/fox-13212,http://www.foxnews.com/interactive/politics/2012/03/14/fox-news-poll-romney-leads-gop-pack-but-obama-still-tops-republicans-in/,http://www.foxnews.com/interactive/politics/2012/03/14/fox-news-poll-romney-leads-gop-pack-but-obama-still-tops-republicans-in/
Bloomberg,2012-03-08,2012-03-11,2012-03-13 14:46:15,1002,Adults,Phone,52,45,3,http://elections.huffingtonpost.com/pollster/polls/bloomberg-13207,http://www.bloomberg.com/news/2012-03-14/obama-romney-race-toss-up-in-poll-showing-independents-critical.html,http://www.bloomberg.com/news/2012-03-14/obama-romney-race-toss-up-in-poll-showing-independents-critical.html
DailyKos/SEIU/PPP (D),2012-03-08,2012-03-11,2012-03-13 13:52:38,1000,Registered Voters,Automated Phone,48,47,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13206,http://dailykos.com/weeklypolling/2012/3/8,http://dailykos.com/weeklypolling/2012/3/8
CBS/Times,2012-03-07,2012-03-11,2012-03-12 11:43:21,878,Registered Voters,Phone,41,41,14,http://elections.huffingtonpost.com/pollster/polls/cbs-times-13183,http://www.cbsnews.com/8301-250_162-57395858/cbs-news-nyt-polls-3-12-12/,http://www.cbsnews.com/8301-250_162-57395858/cbs-news-nyt-polls-3-12-12/
Pew,2012-03-07,2012-03-11,2012-03-14 10:17:11,1503,Adults,Phone,56,41,3,http://elections.huffingtonpost.com/pollster/polls/pew-13211,http://www.people-press.org/files/legacy-pdf/03-14-12%20Political%20Release.pdf,http://www.people-press.org/files/legacy-pdf/03-14-12%20Political%20Release.pdf
YouGov/Economist,2012-03-03,2012-03-06,2012-03-07 18:00:24,1000,Adults,Internet,48,44,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13169,http://big.assets.huffingtonpost.com/20120306econToplines.pdf,http://big.assets.huffingtonpost.com/20120306econToplines.pdf
DailyKos/SEIU/PPP (D),2012-03-01,2012-03-04,2012-03-07 17:47:02,1000,Registered Voters,Automated Phone,47,49,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13168,http://dailykos.com/weeklypolling/2012/3/1,http://dailykos.com/weeklypolling/2012/3/1
NBC/WSJ,2012-02-29,2012-03-03,2012-03-05 10:36:47,800,Adults,Phone,49,37,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-13135,http://firstread.msnbc.msn.com/_news/2012/03/04/10578249-nbcwsj-poll-primary-season-takes-corrosive-toll-on-gop-and-its-candidates,http://firstread.msnbc.msn.com/_news/2012/03/04/10578249-nbcwsj-poll-primary-season-takes-corrosive-toll-on-gop-and-its-candidates
YouGov/Economist,2012-02-25,2012-02-28,2012-03-01 15:20:50,1000,Adults,Internet,48,45,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13092,http://big.assets.huffingtonpost.com/20120228econToplines.pdf,http://big.assets.huffingtonpost.com/20120228econToplines.pdf
DailyKos/SEIU/PPP (D),2012-02-23,2012-02-26,2012-02-28 14:08:55,1000,Registered Voters,Automated Phone,49,47,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13066,http://dailykos.com/weeklypolling/2012/2/23,http://dailykos.com/weeklypolling/2012/2/23
ABC/Post,2012-02-22,2012-02-26,2012-02-28 13:54:48,1011,Adults,Phone,51,45,3,http://elections.huffingtonpost.com/pollster/polls/abc-post-13059,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_021226.html,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_021226.html
Politico/GWU/Battleground,2012-02-19,2012-02-22,2012-02-27 13:58:31,1000,Likely Voters,Phone,54,42,3,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-13054,http://images.politico.com/global/2012/02/bg_46_questionnaire.html,http://images.politico.com/global/2012/02/bg_46_questionnaire.html
YouGov/Economist,2012-02-18,2012-02-21,2012-02-23 09:29:43,1000,Adults,Internet,51,41,8,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-13011,http://cdn.yougov.com/downloads/releases/econ/20120218_econToplines.pdf,http://cdn.yougov.com/downloads/releases/econ/20120218_econToplines.pdf
AP-GfK,2012-02-16,2012-02-20,2012-02-23 09:14:51,1000,Adults,Phone,57,42,1,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-13010,http://surveys.ap.org/data/GfK/AP-GfK%20Poll%20February%202012%20Topline_Obama%20economy.pdf,http://surveys.ap.org/data/GfK/AP-GfK%20Poll%20February%202012%20Topline_Obama%20economy.pdf
Quinnipiac,2012-02-14,2012-02-20,2012-02-22 08:40:53,2605,Registered Voters,Phone,47,48,,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-12992,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1708,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1708
Gallup,2012-02-16,2012-02-19,2012-02-24 12:12:41,1014,Adults,Phone,50,48,2,http://elections.huffingtonpost.com/pollster/polls/gallup-13020,http://www.gallup.com/poll/152942/Obama-Favorable-Rating-Higher-GOP-Candidates.aspx,http://www.gallup.com/poll/152942/Obama-Favorable-Rating-Higher-GOP-Candidates.aspx
DailyKos/SEIU/PPP (D),2012-02-16,2012-02-19,2012-02-21 15:20:11,1000,Registered Voters,Automated Phone,50,45,5,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12988,http://dailykos.com/weeklypolling/2012/2/16,http://dailykos.com/weeklypolling/2012/2/16
Democracy Corps (D),2012-02-11,2012-02-14,2012-02-15 16:22:33,1000,Likely Voters,Phone,48,42,,http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-12934,http://www.democracycorps.com/wp-content/files/dcor120214fq_web-Wednesday.pdf,http://www.democracycorps.com/wp-content/files/dcor120214fq_web-Wednesday.pdf
CNN,2012-02-10,2012-02-13,2012-02-16 16:19:53,1026,Adults,Phone,53,45,1,http://elections.huffingtonpost.com/pollster/polls/cnn-12942,http://i2.cdn.turner.com/cnn/2012/images/02/14/rel2c.pdf,http://i2.cdn.turner.com/cnn/2012/images/02/14/rel2c.pdf
CBS/Times,2012-02-08,2012-02-13,2012-02-14 10:25:01,1064,Registered Voters,Phone,45,41,11,http://elections.huffingtonpost.com/pollster/polls/cbs-times-12900,http://www.cbsnews.com/8301-250_162-57377936/cbs-news-polls-2-14-12/,http://www.cbsnews.com/8301-250_162-57377936/cbs-news-polls-2-14-12/
DailyKos/SEIU/PPP (D),2012-02-09,2012-02-12,2012-02-14 13:44:54,1000,Registered Voters,Automated Phone,48,48,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12908,http://dailykos.com/weeklypolling/2012/2/9,http://dailykos.com/weeklypolling/2012/2/9
DailyKos/SEIU/PPP (D),2012-02-02,2012-02-05,2012-02-08 10:56:26,1000,Registered Voters,Automated Phone,50,46,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12746,http://dailykos.com/weeklypolling/2012/2/2,http://dailykos.com/weeklypolling/2012/2/2
DailyKos/SEIU/PPP (D),2012-01-26,2012-01-29,2012-01-31 13:16:12,1000,Registered Voters,Automated Phone,48,47,6,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12691,http://dailykos.com/weeklypolling/2012/1/26,http://dailykos.com/weeklypolling/2012/1/26
NBC/WSJ,2012-01-22,2012-01-24,2012-01-27 09:21:39,1000,Adults,Phone,50,39,1,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-12644,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/120126NBCWSJfinal.pdf,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/120126NBCWSJfinal.pdf
DailyKos/SEIU/PPP (D),2012-01-19,2012-01-22,2012-01-25 13:15:01,1000,Registered Voters,Automated Phone,47,49,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12629,http://dailykos.com/weeklypolling/2012/1/19,http://dailykos.com/weeklypolling/2012/1/19
ABC/Post,2012-01-18,2012-01-22,2012-01-24 10:30:41,1009,Adults,Phone,53,43,4,http://elections.huffingtonpost.com/pollster/polls/abc-post-12617,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_012212.html,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_012212.html
CBS/Times,2012-01-12,2012-01-17,2012-01-19 08:38:17,1021,Registered Voters,Phone,38,45,14,http://elections.huffingtonpost.com/pollster/polls/cbs-times-12507,http://www.cbsnews.com/htdocs/pdf/Jan_12b_Prez_Econ_Gen_Elec.pdf?tag=contentMain;contentBody,http://www.cbsnews.com/htdocs/pdf/Jan_12b_Prez_Econ_Gen_Elec.pdf?tag=contentMain;contentBody
Pew,2012-01-11,2012-01-16,2012-01-19 12:07:45,1502,Adults,Phone,51,45,4,http://elections.huffingtonpost.com/pollster/polls/pew-12513,http://www.people-press.org/files/legacy-pdf/1-19-12%20Obama%20Release.pdf,http://www.people-press.org/files/legacy-pdf/1-19-12%20Obama%20Release.pdf
DailyKos/SEIU/PPP (D),2012-01-12,2012-01-15,2012-01-17 17:15:38,1000,Registered Voters,Automated Phone,49,47,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12494,http://dailykos.com/weeklypolling/2012/1/12,http://dailykos.com/weeklypolling/2012/1/12
FOX,2012-01-12,2012-01-14,2012-01-17 10:32:05,906,Registered Voters,Phone,51,46,3,http://elections.huffingtonpost.com/pollster/polls/fox-12472,http://www.foxnews.com/interactive/politics/2012/01/15/fox-news-poll-raw-data-romney-hits-record-high-but-still-tied-with-obama/,http://www.foxnews.com/interactive/politics/2012/01/15/fox-news-poll-raw-data-romney-hits-record-high-but-still-tied-with-obama/
CNN,2012-01-11,2012-01-12,2012-01-17 10:14:36,1021,Adults,Phone,49,49,2,http://elections.huffingtonpost.com/pollster/polls/cnn-12470,http://i2.cdn.turner.com/cnn/2012/images/01/13/rel1aa.pdf,http://i2.cdn.turner.com/cnn/2012/images/01/13/rel1aa.pdf
Democracy Corps (D),2012-01-08,2012-01-11,2012-01-13 12:05:03,1000,Likely Voters,Phone,49,41,,http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-12463,http://www.democracycorps.com/wp-content/files/January-National-FQ.pdf,http://www.democracycorps.com/wp-content/files/January-National-FQ.pdf
DailyKos/SEIU/PPP (D),2012-01-05,2012-01-08,2012-01-10 13:05:47,1000,Registered Voters,Automated Phone,47,49,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12440,http://dailykos.com/weeklypolling/2012/1/5,http://dailykos.com/weeklypolling/2012/1/5
DailyKos/SEIU/PPP (D),2011-12-15,2011-12-18,2011-12-21 13:29:53,1000,Registered Voters,Automated Phone,47,50,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12332,http://dailykos.com/weeklypolling/2011/12/15,http://dailykos.com/weeklypolling/2011/12/15
AP-GfK,2011-12-08,2011-12-12,2011-12-16 10:58:23,1000,Adults,Phone,53,46,1,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-12295,http://surveys.ap.org/data/GfK/AP-GfK%20Poll%20December%202011%20Topline_Obama.pdf,http://surveys.ap.org/data/GfK/AP-GfK%20Poll%20December%202011%20Topline_Obama.pdf
NBC/WSJ,2011-12-07,2011-12-11,2011-12-14 13:18:24,1000,Adults,Phone,45,42,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-12276,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/_Today_Stories_Teases/111213DecNBCWSJpoll.pdf,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/_Today_Stories_Teases/111213DecNBCWSJpoll.pdf
DailyKos/SEIU/PPP (D),2011-12-07,2011-12-11,2011-12-13 13:29:34,1000,Registered Voters,Automated Phone,46,49,5,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12268,http://www.dailykos.com/weeklypolling/2011/12/8,http://www.dailykos.com/weeklypolling/2011/12/8
ABC/Post,2011-12-07,2011-12-11,2011-12-14 14:11:15,1012,Adults,Phone,48,49,3,http://elections.huffingtonpost.com/pollster/polls/abc-post-12278,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_121111.html,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_121111.html
DailyKos/SEIU/PPP (D),2011-12-01,2011-12-04,2011-12-06 13:40:57,1000,Registered Voters,Automated Phone,49,46,5,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12225,http://elections.dailykos.com/weeklypolling/2011/12/1,http://elections.dailykos.com/weeklypolling/2011/12/1
DailyKos/SEIU/PPP (D),2011-11-17,2011-11-20,2011-11-23 12:57:14,1000,Registered Voters,Automated Phone,47,48,5,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12163,http://elections.dailykos.com/weeklypolling/2011/11/17,http://elections.dailykos.com/weeklypolling/2011/11/17
Quinnipiac,2011-11-14,2011-11-20,2011-11-22 08:52:35,2552,Registered Voters,Phone,47,46,,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-12158,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1676,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1676
Pew,2011-11-09,2011-11-14,2011-11-17 15:04:25,2410,Adults,Phone,52,45,3,http://elections.huffingtonpost.com/pollster/polls/pew-12140,http://www.people-press.org/files/legacy-pdf/11-17-11%20Politics%20Release.pdf,http://www.people-press.org/files/legacy-pdf/11-17-11%20Politics%20Release.pdf
DailyKos/SEIU/PPP (D),2011-11-10,2011-11-13,2011-11-15 15:13:41,1000,Registered Voters,Automated Phone,47,48,5,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12124,http://dailykos.com/weeklypolling/2011/11/10,http://dailykos.com/weeklypolling/2011/11/10
Marist/McClatchy,2011-11-08,2011-11-10,2011-11-16 11:18:10,872,Registered Voters,Phone,47,49,4,http://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-12127,"http://maristpoll.marist.edu/wp-content/misc/usapolls/US111108/Obama/Complete%20November%2016,%202011%20USA%20McClatchy-Marist%20Poll%20Release%20and%20Tables.pdf","http://maristpoll.marist.edu/wp-content/misc/usapolls/US111108/Obama/Complete%20November%2016,%202011%20USA%20McClatchy-Marist%20Poll%20Release%20and%20Tables.pdf"
DailyKos/SEIU/PPP (D),2011-11-03,2011-11-06,2011-11-08 16:16:19,1000,Registered Voters,Automated Phone,46,51,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12090,http://dailykos.com/weeklypolling/2011/11/3,http://dailykos.com/weeklypolling/2011/11/3
NBC/WSJ,2011-11-02,2011-11-05,2011-11-08 10:08:36,1000,Adults,Phone,46,39,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-12087,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/November_Poll.pdf,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/November_Poll.pdf
Resurgent Republic (R),2011-10-30,2011-11-02,2011-11-08 12:10:37,1000,Registered Voters,Phone,51,45,,http://elections.huffingtonpost.com/pollster/polls/resurgent-republic-r-12088,http://www.resurgentrepublic.com/system/assets/436/original/RR_Nov_2011_Year_Out_Toplines.pdf,http://www.resurgentrepublic.com/system/assets/436/original/RR_Nov_2011_Year_Out_Toplines.pdf
Quinnipiac,2011-10-25,2011-10-31,2011-11-02 11:21:59,2294,Registered Voters,Phone,49,46,,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-12060,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1669,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1669
DailyKos/SEIU/PPP (D),2011-10-27,2011-10-30,2011-11-01 15:15:59,1000,Registered Voters,Automated Phone,44,51,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12058,http://dailykos.com/weeklypolling/2011/10/27,http://dailykos.com/weeklypolling/2011/10/27
FOX,2011-10-23,2011-10-25,2011-10-27 10:31:16,904,Registered Voters,Phone,48,48,3,http://elections.huffingtonpost.com/pollster/polls/fox-12034,http://www.foxnews.com/interactive/politics/2011/10/26/fox-news-poll-gop-primary-voters-get-on-cain-train/,http://www.foxnews.com/interactive/politics/2011/10/26/fox-news-poll-gop-primary-voters-get-on-cain-train/
DailyKos/SEIU/PPP (D),2011-10-20,2011-10-23,2011-10-25 15:01:56,1000,Registered Voters,Automated Phone,47,49,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-12026,http://dailykos.com/weeklypolling/2011/10/20,http://dailykos.com/weeklypolling/2011/10/20
Democracy Corps (D)/Center for American Progress,2011-10-15,2011-10-18,2011-10-20 11:39:08,1000,Likely Voters,Phone,45,45,,http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-center-for-american-progress-12006,http://big.assets.huffingtonpost.com/PoliticalFQDCorps101811.pdf,http://big.assets.huffingtonpost.com/PoliticalFQDCorps101811.pdf
AP-GfK,2011-10-13,2011-10-17,2011-10-19 15:04:26,1000,Adults,Phone,54,44,2,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-12002,http://surveys.ap.org/data/GfK/AP-GfK%20Poll%20October%202011%20Topline%20FINAL_2012.pdf,http://surveys.ap.org/data/GfK/AP-GfK%20Poll%20October%202011%20Topline%20FINAL_2012.pdf
DailyKos/SEIU/PPP (D),2011-10-13,2011-10-16,2011-10-18 12:00:01,1000,Registered Voters,Automated Phone,49,47,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-11995,http://dailykos.com/weeklypolling/2011/10/13,http://dailykos.com/weeklypolling/2011/10/13
NBC/WSJ,2011-10-06,2011-10-10,2011-10-13 11:03:00,1000,Adults,Phone,46,40,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-11967,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/October_Poll.pdf,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/October_Poll.pdf
DailyKos/SEIU/PPP (D),2011-10-06,2011-10-09,2011-10-11 15:56:37,1000,Registered Voters,Automated Phone,50,47,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-11957,http://dailykos.com/weeklypolling/2011/10/6,http://dailykos.com/weeklypolling/2011/10/6
Quinnipiac,2011-09-27,2011-10-03,2011-10-04 14:48:04,2118,Registered Voters,Phone,42,53,,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-11923,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1656,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1656
CNN,2011-09-23,2011-09-25,2011-09-26 12:17:13,1010,Adults,Phone,53,45,2,http://elections.huffingtonpost.com/pollster/polls/cnn-11890,http://politicalticker.blogs.cnn.com/2011/09/26/cnn-poll-perry-still-at-top-but-romney-stronger-vs-obama/,http://politicalticker.blogs.cnn.com/2011/09/26/cnn-poll-perry-still-at-top-but-romney-stronger-vs-obama/
DailyKos/SEIU/PPP (D),2011-09-22,2011-09-25,2011-10-18 14:38:23,1000,Registered Voters,Automated Phone,44,52,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-11997,http://dailykos.com/weeklypolling/2011/9/22,http://dailykos.com/weeklypolling/2011/9/22
DailyKos/SEIU/PPP (D),2011-09-15,2011-09-18,2011-10-18 11:25:43,1000,Registered Voters,Automated Phone,46,50,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-11993,http://dailykos.com/weeklypolling/2011/9/15,http://dailykos.com/weeklypolling/2011/9/15
